"","country","year","population","hexp","num_tb_cases","ir_tb","Wpop","CWpop","ridit","Whealth","CWhealth","logridit","Wi","XiWi","YiWi","predict2000","qhexp","wpop2000","wrate"
"176","Haiti",2000,9000000,61.1,23000,271,0.0180640373375142,0.0180640373375142,0.00903201866875708,0.0719379457024897,0.0719379457024897,-2.04421517341593,3000,-6132.64552024778,813000,205.490004315206,"Q1",0.230769230769231,62.5384615384615
"227","Nicaragua",2000,5000000,133,3400,68,0.010035576298619,0.0280996136361331,0.0230818254868237,0.0106343050168898,0.0825722507193795,-1.63672984683766,2236.06797749979,-3659.83919833182,152052.622469986,169.600876656689,"Q1",0.128205128205128,8.71794871794872
"193","Honduras",2000,6000000,170,7200,116,0.0120426915583428,0.0401423051944759,0.0341209594153045,0.0225197047416489,0.105091955461028,-1.466978765813,2449.48974278318,-3593.34943973966,284140.810162849,154.650109549998,"Q1",0.153846153846154,17.8461538461538
"23","Bolivia",2000,8000000,192,15000,184,0.0160569220777904,0.0561992272722663,0.0481707662333711,0.046916051545102,0.15200800700613,-1.31721644547966,2828.42712474619,-3725.65072355644,520430.590953299,141.459845551998,"Q1",0.205128205128205,37.7435897435897
"159","Guatemala ",2000,11000000,197,7600,68,0.0220782678569618,0.078277495129228,0.0672383612007472,0.0237707994495183,0.175778806455649,-1.17238288015443,3316.6247903554,-3888.35412410843,225530.485744167,128.703679927965,"Q1",0.282051282051282,19.1794871794872
"125","Ecuador",2000,12000000,198,13000,107,0.0240853831166855,0.102362878245914,0.0903201866875708,0.040660578005755,0.216439384461404,-1.04421517341593,3464.10161513775,-3617.26746878146,370658.87281974,117.415353971634,"Q2",0.130434782608696,13.9565217391304
"278","Peru",2000,26000000,231,48000,184,0.0521849967528187,0.154547874998732,0.128455376622323,0.150131364944326,0.36657074940573,-0.891247713207383,5099.01951359279,-4544.48948108939,938219.590501072,103.942798399822,"Q2",0.282608695652174,52
"261","Paraguay",2000,5000000,316,2600,49,0.010035576298619,0.164583451297351,0.159565663148042,0.00813211560115101,0.374702865006881,-0.7970605585348,2236.06797749979,-1782.28159106776,109567.33089749,95.6472976851782,"Q2",0.0543478260869565,2.66304347826087
"108","Dominican Republic",2000,9000000,326,8600,100,0.0180640373375142,0.182647488634865,0.173615469966108,0.0268985362191918,0.401601401226073,-0.760411579726456,3000,-2281.23473917937,3e+05,92.4194516911843,"Q2",0.0978260869565217,9.78260869565217
"74","Colombia",2000,40000000,345,17000,43,0.0802846103889518,0.262932099023817,0.222789793829341,0.0531715250844489,0.454772926310522,-0.652104708404613,6324.55532033676,-4124.27230295705,271955.878774481,82.8803618697066,"Q2",0.434782608695652,18.695652173913
"142","El Salvador",2000,6227491,366,2200,37,0.0124992922158926,0.27543139123971,0.269181745131764,0.00688102089328162,0.461653947203803,-0.56995439562696,2495.49413944413,-1422.3178540375,92333.2831594328,75.6450017961997,"Q3",0.0204027854096537,0.754903060157186
"295","Trinidad and Tobago",2000,1000000,479,210,17,0.0020071152597238,0.277438506499434,0.276434948869572,0.000656824721631428,0.462310771925435,-0.558407051233796,1000,-558.407051233796,17000,74.6279734763749,"Q3",0.00327624486485066,0.0556961627024612
"329","Venezuela",2000,24000000,482,8300,34,0.0481707662333711,0.325609272732805,0.301523889616119,0.0259602151882898,0.488270987113725,-0.520678273184076,4898.97948556636,-2550.7921789089,166565.302509256,71.3050245417556,"Q3",0.0786298767564158,2.67341580971814
"40","Brazil",2000,174000000,503,110000,60,0.34923805519194,0.674847327924745,0.500228300328775,0.344051044664081,0.832322031777806,-0.300831741775958,13190.9059582729,-3968.24321503011,791454.357496375,51.9421181587384,"Q3",0.570066606484014,34.2039963890409
"210","Mexico",2000,100000000,509,31000,31,0.20071152597238,0.875558853897125,0.775203090910935,0.0969598398598774,0.929281871637683,-0.11058450432302,10000,-1105.8450432302,310000,35.1861592412402,"Q3",0.327624486485066,10.156359081037
"91","Costa Rica",2000,4000000,511,1400,35,0.00802846103889518,0.88358731493602,0.879573084416572,0.00437883147754285,0.933660703115226,-0.055728068838542,2000,-111.456137677084,70000,30.35469786685,"Q4",0.0645161290322581,2.25806451612903
"244","Panama",2000,3000000,560,1400,47,0.00602134577917139,0.889608660715191,0.886597987825606,0.00437883147754285,0.938039534592769,-0.0522732586866142,1732.05080756888,-90.5399399224069,81406.3879557372,30.0504166707155,"Q4",0.0483870967741935,2.2741935483871
"57","Chile",2000,15000000,735,4000,26,0.0301067288958569,0.919715389611048,0.90466202516312,0.0125109470786939,0.950550481671462,-0.0435136396028889,3872.98334620742,-168.52760151486,100697.567001393,29.2789162827736,"Q4",0.241935483870968,6.29032258064516
"6","Argentina",2000,37000000,840,15000,40,0.0742632646097804,0.993978654220829,0.956847021915938,0.046916051545102,0.997466533216565,-0.0191574904869004,6082.76253029822,-116.530465308262,243310.501211929,27.133756965667,"Q4",0.596774193548387,23.8709677419355
"312","Uruguay",2000,3000000,953,810,24,0.00602134577917139,1,0.996989327110414,0.00253346678343551,1,-0.00130949083765526,1732.05080756888,-2.26810466286483,41569.219381653,25.5618006372275,"Q4",0.0483870967741935,1.16129032258065
