"","country","year","population","impsanifac","num_tb_cases","ir_tb"
"1","Argentina",2000,36903067,91.7,15000,40
"5","Bolivia",2000,8495271,37,16000,184
"9","Brazil",2000,174504898,74.6,110000,61
"13","Chile",2000,15454402,91.6,3600,23
"17","Colombia",2000,39897984,74.6,17000,43
"21","Costa Rica",2000,3929588,91.3,770,20
"25","Cuba",2000,11138416,86.8,1400,13
"29","Dominican Republic",2000,8663421,77.4,8600,100
"33","Ecuador",2000,12533087,69.6,13000,107
"37","El Salvador",2000,5958794,61.3,1700,28
"41","Guatemala",2000,11204183,71,7600,68
"45","Guyana",2000,744471,79.2,770,103
"49","Haiti",2000,8578234,20.8,23000,270
"53","Honduras",2000,6235561,63.3,7100,114
"57","Mexico",2000,103873607,75.3,30000,29
"61","Nicaragua",2000,5100920,48,2800,56
"65","Panama",2000,3054812,67,1800,60
"69","Paraguay",2000,5350253,58.5,2600,49
"73","Peru",2000,26000080,63.2,48000,185
"77","Suriname",2000,466668,80.5,400,86
"81","Trinidad and Tobago",2000,1267980,92.4,210,17
"85","Uruguay",2000,3320841,93.8,760,23
"89","Venezuela",2000,24407553,88.7,8400,34
