"","country","year","population","impsfac","num_tb_cases","ir_tb"
"16","Argentina",2010,40000000,76,11000,27
"33","Bolivia",2010,10088108,67,13000,135
"50","Brazil",2010,195000000,73,85000,46
"67","Chile",2010,17269525,79,3200,19
"84","Colombia",2010,46000000,74,16000,34
"101","Costa Rica",2010,4726575,79,650,14
"118","Dominican Republic",2010,10056181,73.3,6700,67
"135","Ecuador",2010,14000000,76,9400,65
"152","El Salvador",2010,6227491,72,1800,28
"169","Guatemala ",2010,14000000,71,8900,62
"186","Haiti",2010,10123787,62,23000,230
"203","Honduras",2010,7754687,73,3900,54
"220","Mexico",2010,113000000,76.8,25000,22
"237","Nicaragua",2010,5869859,73.8,2400,42
"254","Panama",2010,3571185,76,1700,48
"271","Paraguay",2010,6000000,72.4,3000,46
"288","Peru",2010,29399817,73.8,31000,106
"305","Trinidad and Tobago",2010,1346350,70,280,19
"322","Uruguay",2010,3380008,76.9,720,24
"339","Venezuela",2010,29436891,74.3,9700,33
